Class,Acronym,Subclass,Lower photon energy / J,Higher photon energy / J,Lower photon energy / eV,Higher photon energy / eV,Lower frequency / Hz,Higher frequency / Hz,Lower wavelength / m,Higher wavelength / m
Ionizing radiation,Y,Gamma rays,198.6E-15,2.0E+75,1.2E+06,12.4E+93,299.8E+18,3.0E+108,100.0E-102,1.0E-12
Ionizing radiation,HX,Hard X-rays,2.0E-15,198.6E-15,12.4E+03,1.2E+06,3.0E+18,299.8E+18,1.0E-12,100.0E-12
Ionizing radiation,SX,Soft X-rays,19.9E-18,2.0E-15,124.0E+00,12.4E+03,30.0E+15,3.0E+18,100.0E-12,10.0E-09
Ultraviolet,VUV,Vacuum ultraviolet,993.2E-21,19.9E-18,6.2E+00,124.0E+00,1.5E+15,30.0E+15,10.0E-09,200.0E-09
Ultraviolet,EUV,Extreme ultraviolet,1.6E-18,19.9E-18,10.2E+00,124.0E+00,2.5E+15,30.0E+15,10.0E-09,121.0E-09
Ultraviolet,HL-a,Hydrogen Lyman-alpha,1.6E-18,1.6E-18,10.2E+00,10.2E+00,2.5E+15,2.5E+15,121.0E-09,122.0E-09
Ultraviolet,FUV,Far ultraviolet,993.2E-21,1.6E-18,6.2E+00,10.2E+00,1.5E+15,2.5E+15,122.0E-09,200.0E-09
Ultraviolet,UVC,Ultraviolet C,709.4E-21,2.0E-18,4.4E+00,12.4E+00,1.1E+15,3.0E+15,100.0E-09,280.0E-09
Ultraviolet,MUV,Middle ultraviolet,662.1E-21,993.2E-21,4.1E+00,6.2E+00,999.3E+12,1.5E+15,200.0E-09,300.0E-09
Ultraviolet,UVB,Ultraviolet B,630.6E-21,709.4E-21,3.9E+00,4.4E+00,951.7E+12,1.1E+15,280.0E-09,315.0E-09
Ultraviolet,NUV,Near ultraviolet,496.6E-21,662.1E-21,3.1E+00,4.1E+00,749.5E+12,999.3E+12,300.0E-09,400.0E-09
Ultraviolet,UVA,Ultraviolet A,496.6E-21,630.6E-21,3.1E+00,3.9E+00,749.5E+12,951.7E+12,315.0E-09,400.0E-09
Visible,V,Violet,441.4E-21,522.7E-21,2.8E+00,3.3E+00,666.2E+12,788.9E+12,380.0E-09,450.0E-09
Visible,V,Blue,409.6E-21,441.4E-21,2.6E+00,2.8E+00,618.1E+12,666.2E+12,450.0E-09,485.0E-09
Visible,V,Cyan,397.3E-21,409.6E-21,2.5E+00,2.6E+00,599.6E+12,618.1E+12,485.0E-09,500.0E-09
Visible,V,Green,351.6E-21,397.3E-21,2.2E+00,2.5E+00,530.6E+12,599.6E+12,500.0E-09,565.0E-09
Visible,V,Yellow,336.7E-21,351.6E-21,2.1E+00,2.2E+00,508.1E+12,530.6E+12,565.0E-09,590.0E-09
Visible,V,Orange,317.8E-21,336.7E-21,2.0E+00,2.1E+00,479.7E+12,508.1E+12,590.0E-09,625.0E-09
Visible,V,Red,261.4E-21,317.8E-21,1.6E+00,2.0E+00,394.5E+12,479.7E+12,625.0E-09,760.0E-09
Infrared,NIR,Near infrared,141.9E-21,261.4E-21,885.6E-03,1.6E+00,214.1E+12,394.5E+12,760.0E-09,1.4E-06
Infrared,MIR,Mid infrared,66.2E-21,141.9E-21,413.3E-03,885.6E-03,99.9E+12,214.1E+12,1.4E-06,3.0E-06
Infrared,FIR,Far infrared,198.6E-24,66.2E-21,1.2E-03,413.3E-03,299.8E+09,99.9E+12,3.0E-06,1.0E-03
Microwave,W,W,37.1E-24,66.2E-24,231.7E-06,413.3E-06,56.0E+09,99.9E+09,3.0E-03,5.4E-03
Microwave,V,V,30.5E-24,37.1E-24,190.2E-06,231.7E-06,46.0E+09,56.0E+09,5.4E-03,6.5E-03
Microwave,Q,Q,23.8E-24,30.5E-24,148.8E-06,190.2E-06,36.0E+09,46.0E+09,6.5E-03,8.3E-03
Microwave,K,K,7.2E-24,23.8E-24,45.1E-06,148.8E-06,10.9E+09,36.0E+09,8.3E-03,27.5E-03
Microwave,X,X,3.4E-24,7.2E-24,21.5E-06,45.1E-06,5.2E+09,10.9E+09,27.5E-03,57.7E-03
Microwave,C,C,2.6E-24,4.1E-24,16.1E-06,25.6E-06,3.9E+09,6.2E+09,48.4E-03,76.9E-03
Microwave,S,S,1.0E-24,3.4E-24,6.4E-06,21.5E-06,1.6E+09,5.2E+09,57.7E-03,193.0E-03
Microwave,L,L,258.3E-27,1.0E-24,1.6E-06,6.4E-06,389.8E+06,1.6E+09,193.0E-03,769.0E-03
Microwave,P,P,149.4E-27,258.3E-27,932.2E-09,1.6E-06,225.4E+06,389.8E+06,769.0E-03,1.3E+00
Radio,EHF,Extremely high frequency,19.9E-24,198.6E-24,124.0E-06,1.2E-03,30.0E+09,299.8E+09,1.0E-03,10.0E-03
Radio,SHF,Super high frequency,2.0E-24,19.9E-24,12.4E-06,124.0E-06,3.0E+09,30.0E+09,10.0E-03,100.0E-03
Radio,UHF,Ultra high frequency,198.6E-27,2.0E-24,1.2E-06,12.4E-06,299.8E+06,3.0E+09,100.0E-03,1.0E+00
Radio,VHF,Very high frequency,19.9E-27,198.6E-27,124.0E-09,1.2E-06,30.0E+06,299.8E+06,1.0E+00,10.0E+00
Radio,HF,High frequency,2.0E-27,19.9E-27,12.4E-09,124.0E-09,3.0E+06,30.0E+06,10.0E+00,100.0E+00
Radio,MF,Medium frequency,198.6E-30,2.0E-27,1.2E-09,12.4E-09,299.8E+03,3.0E+06,100.0E+00,1.0E+03
Radio,LF,Low frequency,19.9E-30,198.6E-30,124.0E-12,1.2E-09,30.0E+03,299.8E+03,1.0E+03,10.0E+03
Radio,VLF,Very low frequency,2.0E-30,19.9E-30,12.4E-12,124.0E-12,3.0E+03,30.0E+03,10.0E+03,100.0E+03
Radio,ULF,Ultra low frequency,198.6E-33,2.0E-30,1.2E-12,12.4E-12,299.8E+00,3.0E+03,100.0E+03,1.0E+06
Radio,SLF,Super low frequency,19.9E-33,198.6E-33,124.0E-15,1.2E-12,30.0E+00,299.8E+00,1.0E+06,10.0E+06
Radio,ELF,Extremely low frequency,2.0E-33,19.9E-33,12.4E-15,124.0E-15,3.0E+00,30.0E+00,10.0E+06,100.0E+06
